exceptionally 	 ['D1']
a 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
came 	 ['D1', 'D3', 'D3']
of 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D3', 'D1', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
he 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
S 	 ['D1']
Place 	 ['D1']
meeting 	 ['D1', 'D1', 'D1']
staircase 	 ['D1', 'D3', 'D3', 'D3']
His 	 ['D1']
high 	 ['D1']
house 	 ['D1', 'D3', 'D3', 'D3', 'D3']
more 	 ['D1', 'D2']
than 	 ['D1', 'D1']
room 	 ['D1']
him 	 ['D1', 'D1', 'D1', 'D1', 'D3', 'D3', 'D3', 'D3']
time 	 ['D1', 'D1', 'D1']
went 	 ['D1', 'D3']
obliged 	 ['D1']
to 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1']
pass 	 ['D1']
her 	 ['D1', 'D1', 'D1']
because 	 ['D1', 'D1', 'D1']
some 	 ['D1', 'D3', 'D3']
past 	 ['D1']
been 	 ['D1']
overstrained 	 ['D1']
condition 	 ['D1']
hypochondria 	 ['D1']
himself 	 ['D1', 'D2']
isolated 	 ['D1']
that 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1']
dreaded 	 ['D1']
anyone 	 ['D1']
all 	 ['D1', 'D1', 'D1', 'D1', 'D1']
anxieties 	 ['D1']
late 	 ['D1']
ceased 	 ['D1']
weigh 	 ['D1']
up 	 ['D1', 'D3', 'D3', 'D3', 'D3']
matters 	 ['D1']
practical 	 ['D1']
desire 	 ['D1']
do 	 ['D1', 'D1', 'D1', 'D1', 'D3']
Nothing 	 ['D1']
could 	 ['D1']
terror 	 ['D1']
stopped 	 ['D1', 'D2']
stairs 	 ['D1', 'D1']
listen 	 ['D1']
irrelevant 	 ['D1']
pestering 	 ['D1']
demands 	 ['D1']
rack 	 ['D1']
excuses 	 ['D1']
prevaricate 	 ['D1']
would 	 ['D1', 'D1']
The 	 ['D2', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
in 	 ['D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D3', 'D3', 'D2', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2', 'D2', 'D2']
was 	 ['D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
airlessness 	 ['D2']
however 	 ['D1']
coming 	 ['D1']
plaster 	 ['D2']
street 	 ['D1']
became 	 ['D1']
acutely 	 ['D1']
aware 	 ['D1']
attempt 	 ['D1']
odd 	 ['D1']
âœHm 	 ['D1']
it 	 ['D1', 'D1', 'D1', 'D1', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
interesting 	 ['D1']
step 	 ['D1']
I 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D3', 'D3']
talking 	 ['D1', 'D2']
chatter 	 ['D1', 'D1', 'D1']
Or 	 ['D1']
Iâve 	 ['D1']
learned 	 ['D1']
last 	 ['D1']
den 	 ['D1']
Jack 	 ['D1']
Why 	 ['D1']
now 	 ['D1']
Am 	 ['D1']
indeed 	 ['D3']
gate 	 ['D3']
his 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
seven 	 ['D3']
hundred 	 ['D3']
thirty 	 ['D3']
counted 	 ['D3']
them 	 ['D3', 'D3', 'D3']
once 	 ['D3', 'D3']
serious 	 ['D1', 'D1']
myself 	 ['D1']
plaything 	 ['D1']
special 	 ['D2']
familiar 	 ['D2']
summerâall 	 ['D2']
young 	 ['D2', 'D2', 'D2', 'D2']
manâs 	 ['D2', 'D2', 'D2']
overwrought 	 ['D2']
nerves 	 ['D2', 'D3']
from 	 ['D2', 'D2', 'D2']
pothouses 	 ['D2']
particularly 	 ['D2']
drunken 	 ['D2', 'D2']
met 	 ['D2', 'D2']
completed 	 ['D2']
revolting 	 ['D2']
picture 	 ['D2']
An 	 ['D2']
moment 	 ['D2']
way 	 ['D2']
handsome 	 ['D2']
with 	 ['D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2', 'D2']
beautiful 	 ['D2']
dark 	 ['D2', 'D2']
Soon 	 ['D2']
speaking 	 ['D2']
walked 	 ['D2']
observe 	 ['D2']
habit 	 ['D2']
had 	 ['D2', 'D2', 'D2']
just 	 ['D2', 'D2']
confessed 	 ['D2']
become 	 ['D2']
conscious 	 ['D2']
were 	 ['D2', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
sometimes 	 ['D2']
days 	 ['D2']
tasted 	 ['D2']
badly 	 ['D2']
such 	 ['D2', 'D2', 'D3', 'D3', 'D2', 'D2']
rags 	 ['D2', 'D2', 'D2']
any 	 ['D2', 'D2', 'D2']
dress 	 ['D2']
Market 	 ['D2']
number 	 ['D2']
preponderance 	 ['D2']
when 	 ['D3']
lost 	 ['D3']
But 	 ['D2']
there 	 ['D2', 'D2']
accumulated 	 ['D2']
bitterness 	 ['D2']
no 	 ['D3', 'D3']
tantalising 	 ['D3']
by 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3']
their 	 ['D3']
but 	 ['D3', 'D3', 'D3', 'D2', 'D2', 'D2']
recklessness 	 ['D3']
later 	 ['D3']
look 	 ['D3']
differently 	 ['D3']
monologues 	 ['D3']
at 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3']
impotence 	 ['D3']
dream 	 ['D3']
an 	 ['D3']
exploit 	 ['D3']
be 	 ['D3', 'D3', 'D3', 'D3', 'D3']
attempted 	 ['D3']
although 	 ['D3']
did 	 ['D3']
positively 	 ['D3']
going 	 ['D3', 'D3', 'D3']
violentWith 	 ['D3']
huge 	 ['D3', 'D2']
tiny 	 ['D3', 'D3', 'D3']
sorts 	 ['D3']
girls 	 ['D3']
they 	 ['D3']
etc 	 ['D3']
or 	 ['D3']
doorkeepers 	 ['D3']
glad 	 ['D3']
right 	 ['D3']
It 	 ['D3']
surroundings 	 ['D3']
darkness 	 ['D3', 'D3']
even 	 ['D3']
most 	 ['D3']
eyes 	 ['D3', 'D3', 'D3', 'D3']
so 	 ['D3', 'D3']
what 	 ['D3']
somehow 	 ['D3']
itâ 	 ['D3', 'D2']
help 	 ['D3']
asking 	 ['D3']
fourth 	 ['D3', 'D3']
barred 	 ['D3']
who 	 ['D3']
flat 	 ['D3', 'D3', 'D3']
civil 	 ['D3']
service 	 ['D3']
then 	 ['D3']
floor 	 ['D3']
except 	 ['D3']
âœThatâs 	 ['D3']
thing 	 ['D3']
anywayâ 	 ['D3']
rang 	 ['D3']
bell 	 ['D3', 'D3', 'D3']
womanâs 	 ['D3']
tinkle 	 ['D3', 'D3']
made 	 ['D3']
little 	 ['D3', 'D3', 'D3', 'D3']
flats 	 ['D3']
note 	 ['D3']
peculiar 	 ['D3', 'D3']
remind 	 ['D3']
In 	 ['D3']
opened 	 ['D3', 'D3']
visitor 	 ['D3']
evident 	 ['D3']
seeing 	 ['D3']
landing 	 ['D3']
wide 	 ['D3']
partitioned 	 ['D3']
off 	 ['D3']
stood 	 ['D3']
diminutive 	 ['D3']
sixty 	 ['D3']
sharp 	 ['D3', 'D3']
nose 	 ['D3']
colourless 	 ['D3']
smeared 	 ['D3']
wore 	 ['D3']
kerchief 	 ['D3']
long 	 ['D3']
henâs 	 ['D3']
sort 	 ['D3']
heat 	 ['D3']
age 	 ['D3', 'D2']
coughed 	 ['D3']
must 	 ['D3']
expression 	 ['D3']
again 	 ['D3']
youth 	 ['D2']
least 	 ['D2']
And 	 ['D2']
being 	 ['D2']
taken 	 ['D2']
somewhere 	 ['D2']
dragged 	 ['D2']
suddenly 	 ['D2', 'D2']
voice 	 ['D2']
pointing 	 ['D2']
himâthe 	 ['D2']
worn 	 ['D2']
brimless 	 ['D2']
bent 	 ['D2']
unseemly 	 ['D2']
Not 	 ['D2']
akin 	 ['D2']
âœI 	 ['D2', 'D2']
muttered 	 ['D2']
confusion 	 ['D2']
stupid 	 ['D2']
like 	 ['D2']
trivial 	 ['D2']
detail 	 ['D2']
is 	 ['D2', 'D2']
noticeable 	 ['D2', 'D2']
makes 	 ['D2']
With 	 ['D2']
ought 	 ['D2']
old 	 ['D2']
Nobody 	 ['D2']
wears 	 ['D2']
mile 	 ['D2']
remembered 	 ['D2']
What 	 ['D2']
remember 	 ['D2']
For 	 ['D2']
should 	 ['D2']
possible 	 ['D2']
always 	 ['D2']
